"ano","regiao","uf","municipio","afd1","afd2","afd3","afd4","afd5","media_aluno_turma","MIRD","aprovacao","reprovacao","abandono","superior","salario_medio","salario_medio_pad","gestao.1","gestao.2","gestao.3","gestao.4","gestao.5","gestao.6","X5LP","X5LP_SAEB","X5MT","X5MT_SAEB","X9LP","X9LP_SAEB","X9MT","X9MT_SAEB","gasto_fund"
2013,"Nordeste","BA",2917334,17.4066666666667,0,12.6933333333333,0.126666666666667,69.7733333333333,17.3,3.57128469368421,85.1066666666667,12.6933333333333,2.2,29.9133333333333,2028.70233333333,3385.31266666667,37.2333333333333,50.2333333333333,0,0,12.5333333333333,0,-1.58735661875,162.53212625,-1.1726634,184.4214451875,-0.355789458333333,230.383298333333,-0.352060125,230.286869166667,16918731.74
2013,"Nordeste","BA",2917359,49.8333333333333,0,31.25,0,18.9166666666667,20.6666666666667,3.24691906,92.55,5.08333333333333,2.36666666666667,81.6166666666667,1900.34166666667,2584.74666666667,0,33.3333333333333,66.6666666666667,0,0,0,-1.74477533181818,153.859404090909,-1.52905510909091,164.501884954545,-0.608862158878505,216.440674766355,-0.432213056074766,225.806937383178,13139627.56
2013,"Nordeste","BA",2917409,10.8769230769231,0,31.4846153846154,1.23076923076923,56.4076923076923,17.1153846153846,3.870970699375,92.0384615384615,6.92307692307692,1.03846153846154,42.9153846153846,1029.24166666667,1939.193,32.5,15.2666666666667,23.9,13.0666666666667,15.2666666666667,0,-0.882312560606061,201.375376111111,-0.550787015151515,219.179564141414,0.325908366666667,267.940331333333,0.556610073333333,281.074562666667,17414077.98
2013,"Nordeste","BA",2917508,27.5978260869565,0.358695652173913,11.0630434782609,7.15,53.8304347826087,20.3,3.604862638,86.0717391304348,11.1652173913043,2.76304347826087,47.0521739130435,2088.09966666667,1898.27233333333,39.3666666666667,30.1333333333333,5.4,1.9,12.4,10.8,-1.5401684247191,165.131884269663,-1.36409357865169,173.721969449438,-0.343382455399061,231.066846478873,-0.354189006259781,230.167884976526,59936589.44
2013,"Nordeste","BA",2917607,20.2775862068966,0.0189655172413793,10.7293103448276,1.55689655172414,67.4172413793103,17.6741379310345,3.11721127821429,89.1473684210526,8.15263157894737,2.7,32.8655172413793,2142.39933333333,2683.54233333333,31.4333333333333,38.6333333333333,15.4333333333333,2.83333333333333,11.6333333333333,0.0333333333333333,-1.5568252993763,164.214201476091,-1.25794276819127,179.654982962578,-0.319621756690998,232.375904136253,-0.261088109489051,235.371508515815,56037188.52
2013,"Nordeste","BA",2917706,6.56071428571429,0.192857142857143,6.43571428571429,0.535714285714286,86.275,13.1571428571429,3.14044480459459,90.4,7.53928571428571,2.06071428571429,13.325,1432.602,1302.3655,22.5333333333333,42.9666666666667,3.46666666666667,8.66666666666667,22.3333333333333,0.0333333333333333,-1.21443185018727,183.077806404494,-0.964242149812734,196.070591385768,-0.555337515695067,219.389529596413,-0.517716793721973,221.027935426009,45771321
2013,"Nordeste","BA",2917805,32.0714285714286,0,24.0257142857143,1.37428571428571,42.5285714285714,17.8114285714286,1.82297536941176,79.5514285714286,13.3485714285714,7.1,58.9228571428571,1978.494,3131.604,7.96666666666667,21.9333333333333,18.0333333333333,18.0333333333333,21.9,12.1333333333333,-1.77874785106383,151.987739468085,-1.49551590425532,166.376467765957,-0.780384506410256,206.990934615385,-0.64791582051282,213.750810897436,34677926.42
2013,"Nordeste","BA",2917904,35.2368421052632,0,28.2789473684211,0.110526315789474,36.3736842105263,19.8736842105263,3.04606718318182,85.4421052631579,10.8947368421053,3.66315789473684,63.5631578947368,1696.72066666667,1696.72066666667,19.6333333333333,44.9,0,13.1,22.3666666666667,0,-1.77604483710407,152.13665520362,-1.63645419004525,158.499100633484,-0.546523016260163,219.87515203252,-0.473592617886179,223.494139837398,17783932.06
2013,"Nordeste","BA",2918001,11.7275,0.0925,13.06125,2.48125,72.6375,17.5575,2.77122375168539,77.45,13.79125,8.75875,28.755,4141.115,5464.79833333333,43.0666666666667,30.6,6.46666666666667,1,17.9,0.966666666666667,-1.65849038748914,158.613128740226,-1.48395829626412,167.022450330148,-0.393178428714859,228.323418674699,-0.362077441767068,229.726981626506,124794296.8
2013,"Nordeste","BA",2918100,25.9686746987952,0.0939759036144578,21.9204819277108,2.23132530120482,49.7855421686747,19.9819277108434,3.4778501754023,81.678313253012,15.4397590361446,2.88192771084337,50.4674698795181,1841.693,1674.26633333333,41.2666666666667,28.6333333333333,7.3,1.63333333333333,18.8,2.36666666666667,-1.69300395721925,156.711658208556,-1.47903881016043,167.297412272727,-0.525680867109635,221.023410963455,-0.424619867109635,226.23133986711,48839697.86
