"ano","regiao","uf","municipio","ef_LP5","ef_LP9","ef_MT5","ef_MT9","ef_abandono"
"2013","Norte","AC","1200427",0.655849854500394,0.951096145541905,0.707512800534931,0.964980707338152,0.457802619130423
"2015","Norte","AC","1200427",0.829573008598985,0.947036313064161,0.834634372327757,0.961121113352257,0.359317779962134
"2013","Norte","AC","1200435",0.651351608166101,0.921445207827194,0.686853121160325,0.964770382022058,0.130008055252581
"2013","Norte","AC","1200450",0.740899333873866,0.969097190372466,0.799239035216987,0.97153705130057,0.280931590169506
"2015","Norte","AC","1200450",0.906649381773553,0.968364318658828,0.935804434098269,0.974578860332061,0.274777371616091
"2013","Norte","AC","1200500",0.769639652965639,0.97843372445835,0.825751849580076,0.975341321274885,0.193927727555236
"2015","Norte","AC","1200500",0.886029856687016,0.966564115313322,0.913950366840289,0.972843634000795,0.14952588938271
"2013","Norte","AC","1200609",0.728003112319066,0.970264882726218,0.826725627470708,0.974211161813627,0.141228136472324
"2015","Norte","AC","1200609",0.934720686298742,0.978853434360776,0.925590941747694,0.976753775300838,0.202612549461776
"2013","Norte","AC","1200708",0.698956038264971,0.96075308635037,0.759915544522597,0.966111369357958,0.202233973031325
"2013","Norte","AC","1200807",0.638588024114152,0.945707098498829,0.69304671018132,0.963806510707544,0.182982827138663
"2015","Norte","AC","1200807",0.822089251187321,0.933677113386889,0.869104464377838,0.963291229580695,0.273561109629374
"2013","Norte","AM","1300060",0.566437831069268,0.924130976113418,0.630463490098315,0.948184130605645,0.316524414155758
"2015","Norte","AM","1300060",0.807653872718678,0.920609362741047,0.836260154784211,0.956288297590422,0.203338768191128
"2013","Norte","AM","1300086",0.673360985016723,0.959702396391639,0.747227092134048,0.964631360649699,0.247091251462163
"2015","Norte","AM","1300086",0.877425572568883,0.962134263571366,0.875450687085918,0.965313127317325,0.275186313090676
"2013","Norte","AM","1300102",0.686513111044773,0.97394564349152,0.754557706358645,0.973029042844804,0.137686169110611
"2015","Norte","AM","1300102",0.926056005382649,0.976170208368322,0.925584438772514,0.973555211885011,0.207542593423869
"2013","Norte","AM","1300144",0.745135504315612,0.969263095567748,0.827483009656432,0.974053015165614,0.107626754158399
"2013","Norte","AM","1300201",0.598050342795046,0.889510208164026,0.680299378698877,0.943397502404727,0.556237191826285
"2015","Norte","AM","1300201",0.834695077470762,0.933805282191776,0.838114307619403,0.956635620871208,0.787978241859447
"2013","Norte","AM","1300300",0.610492585848476,0.925566719134426,0.676218391114781,0.95547573077582,0.108434756228553
"2015","Norte","AM","1300300",0.824713885083378,0.93130059933075,0.838215473617722,0.957001707117074,0.115988001031552
"2013","Norte","AM","1300409",0.696183197196504,0.947556151559057,0.753774773842188,0.95883489153728,0.199981922241697
"2015","Norte","AM","1300409",0.891621372518405,0.963959966798507,0.88691160140261,0.966911940287803,0.149487774585768
"2013","Norte","AM","1300508",0.61295049499682,0.938486665227944,0.675307110692139,0.957067882837644,0.234409290823673
"2015","Norte","AM","1300508",0.879170610431387,0.965224285821067,0.88993847413107,0.969754545969241,0.398612343982904
"2013","Norte","AM","1300607",0.618240744429703,0.946998077342754,0.678418453400316,0.966822150207884,0.108140859050722
"2015","Norte","AM","1300607",0.883252550574613,0.959003477970821,0.89097767993918,0.966540753353459,0.137008443599282
"2015","Norte","AM","1300680",0.842592549093218,0.943577416570511,0.857318039700842,0.961098041648409,0.238012763103689
"2013","Norte","AM","1300706",0.727232420802615,0.971823274778954,0.824271165097194,0.9744160632863,0.256344751014647
"2015","Norte","AM","1300706",0.915085447992759,0.974242008084917,0.934204668899123,0.976199320186831,0.49654647595854
"2013","Norte","AM","1300839",0.673377134500602,0.966174479392344,0.758833228097873,0.963956884242763,0.068940290509363
"2015","Norte","AM","1300839",0.876452990128316,0.959484382846527,0.872351484203444,0.963702540880127,0.087785383820887
"2013","Norte","AM","1301001",0.73271834705278,0.97786555113966,0.836405560752035,0.981538803343166,0.245299256859016
"2015","Norte","AM","1301001",0.890553975346058,0.968804275154366,0.891513411758934,0.972242991958558,0.285970149669991
"2013","Norte","AM","1301100",0.612327860193053,0.944444312930751,0.681766063974353,0.960457078716393,0.141297236158321
"2015","Norte","AM","1301100",0.870103859603162,0.955560431658688,0.877458337914269,0.964458626774437,0.141867452492147
"2013","Norte","AM","1301159",0.650697977782746,0.932095009726286,0.728731251787311,0.958596694006332,0.212174892509565
"2015","Norte","AM","1301159",0.870952844942097,0.953508582126606,0.879955521735368,0.963146680599727,0.262012563278154
"2013","Norte","AM","1301209",0.66781457852427,0.966611052337934,0.751359238306664,0.970025031800477,0.174379514657467
"2015","Norte","AM","1301209",0.894642066830561,0.970260919369618,0.90631413048691,0.973071536575542,0.147083941808897
"2013","Norte","AM","1301308",0.661089746046212,0.968336029638516,0.752134010576624,0.974272556361637,0.128466843540791
"2015","Norte","AM","1301308",0.868110785769597,0.964242915443211,0.895633756722228,0.972222779464741,0.203694310270458
"2013","Norte","AM","1301407",0.711180831748217,0.951688170789983,0.88596085400059,0.96970371523376,0.263071881620659
"2015","Norte","AM","1301407",0.885977786262248,0.957407467344267,0.911537532223866,0.970225539299399,0.232606620573992
