"ano","regiao","uf","municipio","ef_LP5","ef_LP9","ef_MT5","ef_MT9","ef_aband"
"2013","Sul","RS","4318606",0.90616803910166,0.974985647311514,0.907627153555832,0.989624868859206,0.296282254961803
"2015","Sul","RS","4318606",0.947953462314388,0.943892532280628,0.95146867760078,0.989954825270685,0.276451089805308
"2013","Sul","RS","4318622",0.75488702222883,0.929374670173689,0.822646017613997,0.973436937163923,0.259558532941031
"2015","Sul","RS","4318622",0.87983486566623,0.905194058296484,0.91663144817,0.982051646503409,0.506354480443676
"2013","Sul","RS","4318705",0.806155836984574,0.948763019420866,0.861154301801407,0.96767453797252,0.36378597519698
"2015","Sul","RS","4318705",0.955181909529764,0.947773439859529,0.959837317674475,0.962018367979046,0.339514309507176
"2013","Sul","RS","4318804",0.838358777796263,0.940253548955951,0.900287873959773,0.959616631634059,0.871806393097107
"2015","Sul","RS","4318804",0.965866585619422,0.949521211500759,0.975975046479454,0.965525549547522,0.870979532114551
"2013","Sul","RS","4318903",0.82700662010494,0.949199036561488,0.861384891444481,0.971590052957951,0.580591904676157
"2015","Sul","RS","4318903",0.95731937882423,0.957174986339056,0.938226790204358,0.97347931245926,0.521817268966442
"2013","Sul","RS","4319000",0.891251241777676,0.968475549572791,0.913392074364801,0.98923165068999,0.373607553423216
"2015","Sul","RS","4319000",0.969985012465212,0.971506873092991,0.972586490144128,0.983164037828476,0.453068718527296
"2013","Sul","RS","4319109",0.823982557221609,0.961098029905827,0.87297731745823,0.969960515722795,0.577573686402105
"2013","Sul","RS","4319125",0.732788191494658,0.831037268335572,0.766996735458224,0.996024892446265,0.647108294647619
"2015","Sul","RS","4319125",0.779649281457279,0.874115500683815,0.824369764347663,0.99484167960874,0.60068199111373
"2013","Sul","RS","4319158",0.847746020095771,0.926106554481625,0.918133797864511,0.983388928242433,0.483063470588231
"2015","Sul","RS","4319158",0.958032793619094,0.959571035391862,0.949527629168175,0.975551523290261,0.571630717704516
"2013","Sul","RS","4319208",0.86573990572969,0.944718684005289,0.918820867992269,0.991403180035675,0.146513074738979
"2013","Sul","RS","4319307",0.855119320708837,0.968213335523541,0.903777055687007,0.991190188045481,0.528662963499405
"2015","Sul","RS","4319307",0.956441399519065,0.965381345189106,0.96859693187194,0.988257068555919,0.603957004353964
"2013","Sul","RS","4319356",0.800563092965264,0.965235416711686,0.901048903413138,0.992532885350904,0.709401366268823
"2015","Sul","RS","4319356",0.959361311796339,0.968093611108883,0.966625471525593,0.99339552103478,0.72147668646966
"2015","Sul","RS","4319372",0.887322210025398,0.932921182779186,0.910845259075794,0.983883071576587,0.567557356729723
"2013","Sul","RS","4319406",0.897815800819444,0.970083921901618,0.903171143910871,0.995061411255401,0.40689918057185
"2015","Sul","RS","4319406",0.967231653734961,0.971375076946251,0.967990029706899,0.99514796804555,0.605435398874256
"2013","Sul","RS","4319505",0.85219970840514,0.943943513215625,0.900253491395886,0.92456890524937,0.381297390616718
"2015","Sul","RS","4319505",0.97071713220384,0.951525531437613,0.967749260635015,0.923254791677079,0.527380986736981
"2013","Sul","RS","4319604",0.869624886539295,0.958012646954691,0.889308231109391,0.986760501514181,0.537551448800207
"2015","Sul","RS","4319604",0.978117938817734,0.970799788176585,0.975921021679749,0.983434720208308,0.451447174878432
"2013","Sul","RS","4319703",0.873795415568585,0.974946374498472,0.89784635078042,0.995902405325135,0.367676009977552
"2013","Sul","RS","4319802",0.723354356985752,0.945948416040817,0.773251039411149,0.968034860211367,0.655014619785995
"2015","Sul","RS","4319802",0.949387212091345,0.952976123731339,0.940461868559343,0.972350595513362,0.739003783603024
"2013","Sul","RS","4319901",0.90629761838255,0.961026058224882,0.949024833704412,0.978285269174579,0.790317867400172
"2015","Sul","RS","4319901",0.976045673622622,0.973148388869335,0.976742162775553,0.978392705244629,0.682007576360802
"2013","Sul","RS","4320008",0.805105060557706,0.941624603784564,0.857108636952083,0.95611011359708,0.345837690769903
"2015","Sul","RS","4320008",0.960709387305136,0.959836204868006,0.965377348008001,0.961113031973141,0.375474647939018
"2013","Sul","RS","4320107",0.824284007444315,0.960603984188383,0.886944482814181,0.985881101123393,0.52547236782717
"2015","Sul","RS","4320107",0.954722284026351,0.956703874290486,0.947449542236784,0.977848845827505,0.77343129223774
"2013","Sul","RS","4320206",0.894658318038064,0.971887088243456,0.941037757775442,0.992040070078037,0.250613724672478
"2015","Sul","RS","4320206",0.871837807094704,0.894800804964697,0.893679404664666,0.982177476479337,0.330197288496247
"2013","Sul","RS","4320230",0.814598200245935,0.965506267750218,0.883177973570768,0.99456031080145,0.690090591400671
"2015","Sul","RS","4320230",0.956237858364354,0.962657865687593,0.936398068352151,0.993127152970265,0.658768010307485
"2013","Sul","RS","4320305",0.81144472372033,0.97315449183028,0.820201111251314,0.994347382465991,0.380826465947307
"2015","Sul","RS","4320305",0.95238954471398,0.965172846514222,0.956387376641092,0.994337938708385,0.602797491046112
"2013","Sul","RS","4320321",0.666804040580729,0.899988532646657,0.796158833704111,0.976923323147481,0.425012081554281
